city,latitude,longitude,coastal,total_population,population_density_km2,land_area_km2,elevation_meters,ave_june_temp_celsius,koppen_climate,continent
honolulu,21.30694,-157.85833,yes,337256,2236,177.2,6,27.5,tropical_rainforest_climate,oceania
baltimore,39.29038,-76.61219,yes,620961,2919,210,150,25.8,humid_subtropical_climate,north_america
doha,25.27932,51.52245,yes,1351000,10000,132,10,37.5,hot_desert_climate,middle_east
paris,48.85341,2.3488,no,2206488,21000,105,35,19.7,marine_west_coast_climate,europe
auckland,-36.86667,174.76667,yes,1628900,1500,1102,196,10.6,marine_west_coast_climate,oceania
brisbane,-27.46794,153.02809,yes,2408223,148,15842,28,15.3,humid_subtropical_climate,oceania
hamilton,-37.78333,175.28333,no,203100,230,877,95,17.8,marine_west_coast_climate,oceania
minneapolis,44.97997,-93.26384,no,382578,2959,151,253,22.2,cold_semi_arid_climates,north_america
naples,40.85631,14.24641,yes,967068,8200,117,0.9144,30.3,hot-summer_mediterranean_climate,europe
vienna,48.20849,16.37208,no,1899055,4326,395,151,25,warm_humid_continental_climate,europe
bogota,4.60971,-74.08175,no,8080734,4310,1587,2640,16.1,marine_west_coast_climate,south_america
montevideo,-34.90328,-56.18816,yes,1719453,6726,201,43,12.2,humid_subtropical_climate,south_america
sao_paulo,-23.5475,-46.63611,no,12106920,8959,1520,760,18.6,humid_subtropical_climate,south_america
kuala_lumpur,3.1412,101.68653,no,1790000,6891,243,66,29.7,tropical_rainforest_climate,east_asia
santiago,-33.45694,-70.64827,no,6310000,9821,641,570,8.3,warm-summer_mediterranean_climate,south_america
lisbon,38.75382,-9.23083,yes,505526,6458,100,2,23.9,hot-summer_mediterranean_climate,europe
san_francisco,37.77493,-122.41942,yes,884363,7282,121,16,15.6,warm-summer_mediterranean_climate,north_america
sendai,38.25759,140.8667,yes,1086012,1380,786,1500,22.2,humid_subtropical_climate,east_asia
rio_de_janeiro,-22.90278,-43.2075,yes,6688930,2705,1221,5,22.8,tropical_savanna_climate,south_america
sacramento,38.58157,-121.4944,no,466488,1952,259,9.1,23.6,hot-summer_mediterranean_climate,north_america
berlin,52.52437,13.41053,no,3711930,4200,891,34,19.4,warm_humid_continental_climate,europe
denver,39.73915,-104.9847,no,600158,1745,401,1600,20.3,tropical_and_subtropical_steppe_climate,north_america
stockholm,59.33258,18.0649,yes,960031,5100,188,0,13.1,warm_humid_continental_climate,europe
kyiv,50.45466,30.5238,no,2900920,3299,839,179,23.9,warm_humid_continental_climate,europe
seoul,37.566,126.9784,no,9838892,16000,605,38,24.2,hot_humid_continental_climate,east_asia
taipei,25.04776,121.53185,yes,8500000,7500,1140,1120,29.4,humid_subtropical_climate,east_asia
barcelona,41.38879,2.15899,yes,1620809,16000,101,12,24.4,hot-summer_mediterranean_climate,europe
fairbanks,64.83778,-147.71639,no,51926,388,82,136,23.3,continental_subarctic_climate,north_america
oslo,59.91273,10.74609,yes,673469,1400,454,22.9,10,warm_humid_continental_climate,europe
porto,41.14961,-8.61099,yes,237591,5700,41.42,97,20.6,warm-summer_mediterranean_climate,europe
tokyo,35.6895,139.69171,yes,13839910,2662,2188,40,21.7,humid_subtropical_climate,east_asia
ilorin,8.49664,4.54214,no,777667,1188,765,310,25.6,tropical_savanna_climate,sub_saharan_africa
singapore,1.28967,103.85007,yes,5791901,7796,723.2,163.63,29.2,tropical_rainforest_climate,east_asia
new_york_city,40.71427,-74.00597,yes,8622698,11000,783.84,10,23.3,humid_subtropical_climate,north_america
london,51.50853,-0.12574,no,8787892,5590,1572,11,14.4,marine_west_coast_climate,europe
hong_kong,22.28552,114.15769,yes,7453230,6777,1108,957,30.3,humid_subtropical_climate,east_asia
sofia,42.7,23.33,no,1238438,2517,492,500,19,marine_west_coast_climate,europe
yamaguchi,34,131,yes,198971,194,1023,,21.8,humid_subtropical_climate,east_asia
zurich,47,8,no,409241,4700,88,408,16,marine_west_coast_climate,europe
mexico_city,19,99,no,8918653,6000,1485,2250,18,oceanic_subtropical_highland_climate,north_america
shanghai,31,121,yes,24183300,3800,6341,,24,humid_subtropical_climate,east_asia
offa,8,4,no,90000,,,,,tropical_savanna_climate,sub_saharan_africa
hanoi,21,105,no,7587800,2300,3329,,29,humid_subtropical_climate,east_asia
marseille,43,5,yes,869815,3600,,0,29,hot-summer_mediterranean_climate,europe
belfast,,,,,,,,,,europe
birmingham,,,,,,,,,,europe
bradford,,,,,,,,,,europe
bristol,,,,,,,,,,europe
bury,,,,,,,,,,europe
cairngorm,,,,,,,,,,europe
eastbourne,,,,,,,,,,europe
eden,,,,,,,,,,europe
edinborough,,,,,,,,,,europe
islington,,,,,,,,,,europe
jaywick,,,,,,,,,,europe
kensington,,,,,,,,,,europe
lands_end,,,,,,,,,,europe
newcastle,,,,,,,,,,europe
swansea,,,,,,,,,,europe
